,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[302.66195296849867, -626.9048315147077]",232.52472932651818,"['667357309', '667357310', '667357311', '667357317', '667357368', '668699249', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442']",18
1,1,"[467.8902425217007, -241.0335605511988]",221.0699911475174,"['667357325', '667357382', '667357385', '667357387', '3215340463', '3215340464', '5366445105', '6568909593', '6568909594', '6568909595', '6573854574', '8666700466', '8675266535']",13
2,2,"[-537.8469730343703, 318.1904573866215]",241.2936216620082,"['2081722939', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '6571330023', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",12
3,3,"[106.85087189314282, 122.65604170032576]",241.16841681848126,"['668672700', '4642960968', '5077600694', '5366445083', '5366445085', '5366445093', '6583550560', '6583550562', '7147944038']",9
4,4,"[516.5010602588519, 139.55841183611363]",240.11982200083165,"['667357352', '667357403', '667357405', '667357407', '667357409', '667357412', '667357415', '667357416', '668620092', '2055461156', '4348259328', '4369058864', '5882320075', '6785961623', '6785961658', '7147944038', '7147944044', '7147944046']",18
5,5,"[223.41909001667236, -771.3305959827263]",224.9114602588442,"['667357309', '667357310', '667357311', '668660548', '668660552', '668699237', '5879215645', '5879215646', '5879215650', '6435688923', '6435688924', '6495983054', '6495983060', '6627410440', '6627410442']",15
6,6,"[-131.38415952220777, -755.6367267764688]",218.55418087193553,"['668699188', '668699193', '668699199', '668699242']",4
7,7,"[504.52196989978347, 394.02815565880945]",242.78831029373544,"['667357367', '667357412', '667357419', '668612331', '668672704', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '4369058864', '5882320075', '6573701524', '7265460758', '9169143586']",24
8,8,"[514.6272542231227, 702.2565385662951]",244.34140211242206,"['667357421', '1990860599', '1990860600', '4348259325', '4348259332', '4348259333', '6786321690', '6786321691', '9169143592']",9
9,9,"[219.15108973292791, 510.1039945786396]",242.77984834526515,"['667357367', '667357421', '668612331', '668612391', '668672704', '1990860599', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '5366445082', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6573701501', '6573701505', '6573701524']",22
10,10,"[609.7577197420535, -525.8433138681748]",220.33539644553585,"['667357368', '667357383', '667357385', '667357387', '668660560', '668685375', '5879215623', '5879215625', '5879215634', '5879215641']",10
11,11,"[238.9952283815275, -218.84610929350333]",237.40226424188327,"['667357318', '667357325', '667357326', '3215340463', '3215340464', '5077600694', '5366445105', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '8666700466']",13
12,12,"[733.6863713090056, -107.65147528296933]",227.3396703750948,"['667357392', '667357401', '667357403', '667357405', '667357407', '668685380', '6576461331', '8675266535']",8
13,13,"[-124.29650079989955, 371.4362690794405]",242.5747033977671,"['245674992', '667357348', '667357359', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '5366445091', '5366445092', '5366445093', '6571330021', '6571330022', '7265473766']",17
